379,Bagli,N.P.,23,Madhya Pradesh,23,Dewas
380,Bagnan,C.T.,19,West Bengal,16,Haora 
381,Bagru,M,8,Rajasthan,12,Jaipur
382,Bah,M.B.,9,Uttar Pradesh,15,Agra
383,Bahadurganj,N.A.,10,Bihar,8,Kishanganj
384,Bahadurganj,N.P.,9,Uttar Pradesh,65,Ghazipur
385,Bahadurgarh,M.Cl.,6,Haryana,15,Jhajjar
386,Baharampur,M,19,West Bengal,7,Murshidabad 
387,Bahbari Gaon,C.T.,18,Assam,14,Tinsukia
388,Baheri,M.B.,9,Uttar Pradesh,20,Bareilly
389,Bahirgram,C.T.,19,West Bengal,15,Medinipur 
390,Bahjoi,M.B.,9,Uttar Pradesh,4,Moradabad
391,Bahraich,M.B.,9,Uttar Pradesh,50,Bahraich
392,Bahsuma,N.P.,9,Uttar Pradesh,7,Meerut
393,Bahula,C.T.,19,West Bengal,9,Barddhaman 
394,Bahuwa,N.P.,9,Uttar Pradesh,42,Fatehpur
395,Baidyabati,M,19,West Bengal,12,Hugli 
396,Baihar,N.P.,23,Madhya Pradesh,45,Balaghat
397,Baikunthpur,N.A.C.,22,Chhattisgarh,1,Koriya
398,Baikunthpur,N.P.,23,Madhya Pradesh,14,Rewa
399,Bail Hongal,T.M.C,29,Karnataka,1,Belgaum
400,Bairabi,C.T.,15,Mizoram,2,Kolasib
401,Bairatisal,C.T.,19,West Bengal,1,Darjiling 
402,Bairgania,N.A.,10,Bihar,4,Sitamarhi
403,Bajala,C.T.,29,Karnataka,24,Dakshina Kannada
404,Bajna,N.P.,9,Uttar Pradesh,14,Mathura
405,Bajpe,C.T.,29,Karnataka,24,Dakshina Kannada
406,Bajpur,M.B.,5,Uttaranchal,12,Udham Singh Nagar
407,Bajva,C.T.,24,Gujarat,19,Vadodara
408,Bakani,C.T.,8,Rajasthan,32,Jhalawar
409,Bakewar,N.P.,9,Uttar Pradesh,31,Etawah
410,Bakhtiarpur,N.A.,10,Bihar,28,Patna
411,Bakiabad,C.T.,9,Uttar Pradesh,69,Mirzapur
412,Bakloh,C.B.,2,Himachal Pradesh,1,Chamba
413,Balachaur,N.P.,3,Punjab,6,Nawanshahr
414,Balaghat,M,23,Madhya Pradesh,45,Balaghat
415,Balagoda (Bolani),C.T.,21,Orissa,6,Kendujhar
